Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:70300000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
70300000;1;01/06/2020;;1;1;85,527;1,143;13,465;11;1;1;1;1;;0;1,143;1,143;1,143;1,143;1,405;28,286;21,561;7,231;14,856;56,098;85,527;26,433;15,417;10,963;7,43;5,907;5,039;4,236;4,084;3,36;3,36;3,089;2,829;2,829;2,58;29,426;18,368;13,497;9,563;15,988;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
70300000;1;01/05/2020;;1;1;2,958;0,983;1,194;24;1;1;1;1;0;0;0,983;0,983;0,983;0,983;0,983;0,983;1,143;1,143;1,143;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;2,005;2,958;2,005;1,692;1,498;1,315;1,143;1,143;1,143;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70300000;1;01/04/2020;;1;1;2,227;0,983;1,438;14;26;1;1;1;0;0;1,143;1,143;1,315;1,315;1,315;1,498;2,114;1,898;1,692;1,692;1,594;1,405;1,315;2,227;1,898;1,898;1,898;1,794;1,692;1,315;1,315;1,315;1,227;1,143;1,061;0,983;0,983;0,983;0,983;0,983;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
70300000;1;01/03/2020;;1;1;4,084;1,143;1,837;1;25;1;1;1;0;0;4,084;2,46;2,114;2,58;2,58;2,342;2,114;2,005;1,692;1,692;1,594;1,498;1,498;1,498;1,498;2,005;3,089;2,58;2,342;1,692;1,594;1,498;1,498;1,405;1,143;1,143;1,143;1,143;1,143;1,143;1,143;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70300000;1;01/02/2020;;1;1;21,231;1,898;5,926;7;24;1;1;1;;0;3,642;3,36;10,02;8,253;5,039;3,642;21,231;7,034;18,368;14,033;7,034;5,552;5,378;4,392;3,642;3,36;2,829;4,236;3,36;2,829;2,58;2,58;2,46;1,898;1,898;6,272;6,839;5,207;4,873;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
70300000;1;01/01/2020;;1;1;62,497;2,58;8,628;11;29;1;1;1;;0;4,71;3,642;3,5;3,223;3,089;7,836;6,648;4,873;5,728;4,55;62,497;18,987;10,724;8,465;18,987;18,677;18,062;9,116;6,839;4,873;4,236;3,934;4,71;4,236;4,236;3,934;3,934;3,5;2,58;2,58;4,55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70300000;1;01/12/2019;;1;1;63,596;3,36;7,777;18;7;1;1;1;;0;5,378;4,236;3,934;3,642;3,642;3,642;3,36;3,36;3,642;3,934;3,642;3,642;3,642;3,36;3,36;9,338;20,903;63,596;18,062;11,45;9,338;8,043;6,459;3,934;3,786;3,642;3,642;3,36;3,36;4,55;11,206;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70300000;1;01/11/2019;;1;1;273,839;5,552;32,134;5;25;1;1;1;;0;52,013;26,069;19,934;26,433;273,839;76,87;53,528;64,148;32,168;31,77;54,549;29,811;23,247;30,979;30,979;22,566;15,417;11,45;9,79;8,896;7,836;7,43;6,459;5,907;5,552;5,552;7,632;9,116;7,43;6,648;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
70300000;1;01/10/2019;;1;1;83,009;2,58;20,326;17;2;1;1;1;0;0;2,703;2,58;2,829;3,089;5,728;70,374;32,168;15,701;10,486;7,43;6,272;5,207;4,236;4,236;8,253;9,563;83,009;82,386;52,013;23,938;16,862;13,764;10,963;8,679;7,231;6,648;5,728;23,938;16,862;10,963;76,268;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70300000;1;01/09/2019;;1;1;36,285;2,829;6,533;7;30;1;1;1;0;0;5,207;4,55;4,392;4,084;3,934;3,786;36,285;9,563;7,836;4,873;3,934;3,642;4,236;3,934;3,642;3,642;3,5;3,36;5,039;24,639;13,497;7,632;5,728;4,71;3,934;3,642;3,36;3,36;3,223;2,829;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
