Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86410000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86410000;1;01/06/2020;;1;1;312,285;5,343;39,95;30;5;1;1;1;0;0;10,981;5,778;6,001;10,981;5,343;29,098;60,262;40,854;28,164;32,976;41,964;56,999;46,541;47,72;47,129;47,129;36,555;27,244;31,495;22,441;26,339;15,881;21,207;26,79;15,881;33,477;41,964;36,033;32,976;312,285;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/05/2020;;1;1;35;1,76;7,451;24;4;1;1;1;0;0;2,16;2,022;1,889;1,76;2,911;5,778;3,411;2,598;6,933;2,911;4,522;2,911;3,24;8,448;3,073;4,327;3,586;2,911;3,765;2,752;2,16;10,102;23,282;35;23,282;14,834;17,33;9,258;7,927;7,176;8,714;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/04/2020;;1;1;12,205;2,022;4,069;1;30;1;1;1;;0;12,205;4,327;4,135;3,411;3,073;8,186;5,778;5,778;5,778;5,778;4,522;3,948;4,522;3,411;3,073;3,411;4,135;4,135;3,411;3,073;2,752;3,411;3,073;2,302;3,073;2,598;2,302;2,302;2,16;2,022;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/03/2020;;1;1;12,84;2,448;5,356;1;26;1;1;1;;0;12,84;7,673;5,778;11,281;11,281;5,132;4,721;8,448;4,721;5,558;4,327;4,327;10,102;3,586;3,24;3,765;3,586;3,586;6,001;3,948;4,327;3,24;9,535;3,24;2,752;2,448;2,752;3,411;3,765;3,411;3,24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/02/2020;;1;1;25,891;5,558;11,94;18;25;1;1;1;0;0;13,163;9,535;8,984;13,82;15,529;13,82;7,176;6,694;10,391;12,205;15,179;8,984;7,176;6,933;6,694;5,778;16,962;25,891;15,881;16,238;9,817;8,448;7,422;6,459;5,558;14,154;20,403;20,006;16,962;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
86410000;1;01/01/2020;;1;1;41,407;7,927;17,481;11;8;1;1;1;;0;14,834;9,258;16,962;12,205;16,598;15,179;10,102;7,927;8,448;8,984;41,407;40,305;26,79;25,448;13,49;18,076;25,448;24,571;18,837;18,837;12,521;11,893;16,598;18,837;15,881;9,817;8,714;17,33;20,803;19,223;16,598;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/12/2019;;1;1;37,609;9,258;23,486;1;29;1;1;1;;0;37,609;33,981;28,164;33,477;36,555;36,555;27,244;25,007;25,448;30,046;24,571;22,026;21,207;24,138;21,207;26,79;31,495;29,57;27,702;24,138;16,962;17,701;14,834;14,834;18,455;10,684;14,492;13,49;9,258;16,598;13,82;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/11/2019;;1;1;731,892;31,495;158,684;5;30;1;1;1;;0;322,693;175,277;139,971;149,457;731,892;453,047;333,238;393,774;261,123;264,742;211,491;149,457;130,736;112,177;105,41;93,979;82,372;72,708;70,558;59,602;59,602;51,954;51,339;43,088;41,964;37,08;38,141;50,728;41,407;31,495;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/10/2019;;1;1;317,472;10,684;92,17;18;2;1;1;1;0;0;12,521;10,684;20,006;39,216;87,022;145,633;110,469;80,849;64,289;41,964;39,216;29,098;18,076;59,602;44,799;55,717;124,423;317,472;196,249;142,79;108,772;132,563;107,086;83,909;72,708;67,042;55,717;105,41;110,469;91,598;281,89;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/09/2019;;1;1;50,728;10,981;23,277;8;29;1;1;1;;0;26,339;31,495;22,026;14,154;11,893;11,893;41,407;50,728;32,976;29,098;25,007;18,076;18,076;22,441;16,598;11,893;16,598;22,026;31,495;33,477;40,854;35;25,007;22,86;21,207;13,49;13,82;15,179;10,981;12,205;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
