Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86160000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86160000;1;01/07/2020;;1;1;778,226;20,172;134,138;12;27;1;1;1;;0;212,308;88,828;60,468;40,068;35,009;141,495;145,116;775,902;295,713;164,329;96,607;778,226;283,561;139,443;90,533;156,204;134,87;85,457;64,137;50,676;42,232;35,009;30,508;26,782;23,749;21,811;20,172;27,302;39,155;28,62;23,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/06/2020;;1;1;95,729;0,235;6,14;30;4;1;1;1;;0;0,393;0,311;0,272;0,235;0,311;2,427;4,613;5,232;4,022;3,46;3,369;5,127;4,119;5,659;7,916;6,098;4,817;3,832;3,19;2,673;2,346;2,035;1,812;1,528;1,46;2,842;2,928;2,928;2,508;95,729;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86160000;1;01/05/2020;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;0,108;0,108;0,393;0,393;0,272;0,167;0,108;0,897;1,739;3,279;2,928;2,346;1,812;1,393;0,955;0,679;0,529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/03/2020;;1;1;8,392;0,235;1,634;1;28;1;1;1;;0;8,392;6,434;4,817;3,644;2,842;2,427;2,111;1,96;1,739;1,528;1,46;1,262;1,135;1,014;0,785;0,731;0,785;0,731;0,955;0,955;0,84;0,897;0,731;0,529;0,437;0,311;0,272;0,235;0,235;0,235;0,235;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/02/2020;;1;1;17,703;1,262;4,289;27;24;1;1;1;;0;5,444;4,817;3,926;3,279;2,673;2,427;2,508;3,46;3,832;4,613;4,817;5,232;4,413;3,644;2,928;2,346;2,842;2,59;3,46;3,19;3,19;2,346;1,812;1,262;1,262;2,111;17,703;12,035;10,233;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
86160000;1;01/01/2020;;1;1;42,545;0,84;5,803;11;1;1;1;1;;0;0,84;1,668;1,96;1,46;1,739;2,928;3,279;4,119;3,552;2,928;42,545;15,992;12,599;10,583;7,299;6,209;6,098;5,232;4,413;3,369;2,757;3,102;3,102;3,737;4,216;4,613;4,022;3,014;2,757;4,314;5,444;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/12/2019;;1;1;7,149;0,897;3,907;6;31;1;1;1;;0;6,434;5,987;5,444;5,023;5,444;7,149;6,776;6,434;4,413;4,216;4,022;3,737;3,46;3,102;2,757;5,023;5,877;5,232;4,314;3,926;3,369;2,928;3,014;2,59;2,267;1,812;1,597;1,46;1,262;1,135;0,897;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/11/2019;;1;1;373,179;6,892;47,416;5;30;1;1;1;;0;81,32;48,341;37,355;105,564;373,179;142,525;93,117;97,047;58,31;54,786;39,458;33,009;28,355;25,247;25,5;21,337;18,142;15,164;13,173;11,665;10,059;9,21;9,546;13,562;14,354;10,583;9,21;8,553;7,916;6,892;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86160000;1;01/10/2019;;1;1;143,559;4,314;38,553;31;2;1;1;1;0;0;4,613;4,314;5,023;10,233;108,776;89,253;53,401;36,174;26,266;19,485;15,164;11,849;9,546;12,789;20,635;31,61;59,746;91,821;72,91;46,7;33,575;33,86;26,266;20,172;15,992;13,173;13,173;94,855;39,155;31,057;143,559;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/09/2019;;1;1;67,894;3,102;12,676;20;16;1;1;1;0;0;14,354;10,939;7,605;5,659;4,613;3,926;4,314;4,613;4,613;4,314;3,926;3,552;3,46;3,46;3,279;3,102;3,46;36,174;44,124;67,894;40,681;30,508;18,363;12,789;10,059;7,605;6,547;5,767;5,551;5,023;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
